id,happy,sad,angry,disgust,surprise,fear
44,2.4788732394366195,1.6056338028169015,5.788732394366198,5.521126760563378,3.2957746478873235,3.746478873239437
45,2.477272727272727,1.9090909090909087,8.227272727272727,4.681818181818182,4.0227272727272725,3.5909090909090917
46,2.2674897119341564,1.5226337448559668,7.917695473251027,5.522633744855965,3.1358024691358017,3.0452674897119336
47,1.3409090909090908,2.590909090909091,3.8863636363636362,5.227272727272728,3.477272727272727,5.568181818181818
48,3.64,1.6,4.64,3.6,1.32,1.44
49,1.8333333333333333,5.571428571428571,7.6190476190476195,4.976190476190476,1.8571428571428568,1.9285714285714288
50,2.4411764705882355,2.485294117647059,5.647058823529411,5.735294117647059,2.1323529411764706,2.397058823529412
51,1.26,3.0,6.0,4.46,2.24,3.42
52,3.4,3.16,5.48,3.4,3.0,2.68
53,2.52,2.88,4.96,4.12,3.52,2.04
54,2.8421052631578947,3.657894736842105,4.473684210526316,3.973684210526317,2.026315789473684,2.394736842105264
55,1.5882352941176472,3.3235294117647056,6.352941176470589,4.852941176470588,2.088235294117647,2.9411764705882355
56,1.7352941176470589,4.911764705882354,5.205882352941177,4.117647058823529,1.5294117647058822,1.8823529411764703
57,1.4634146341463414,2.097560975609756,5.902439024390246,5.048780487804878,2.8292682926829267,3.8292682926829267
58,5.064516129032258,2.161290322580645,5.161290322580643,4.67741935483871,3.0645161290322585,2.6129032258064515
59,2.771428571428572,1.8571428571428568,5.228571428571429,4.8285714285714265,2.4857142857142858,2.171428571428572
60,1.5142857142857142,2.171428571428572,3.8857142857142857,4.885714285714286,3.914285714285714,3.6857142857142855
61,1.8666666666666667,2.066666666666667,6.066666666666666,5.233333333333333,3.433333333333333,3.5
62,3.0,2.025,6.075,3.825,3.275,2.775
63,4.72463768115942,3.0144927536231885,3.3043478260869565,3.1594202898550723,4.9275362318840585,2.4782608695652173
64,2.7575757575757582,3.0606060606060614,4.0,2.9090909090909087,5.212121212121212,3.515151515151515
65,3.35,2.5,7.4,3.75,2.583333333333333,2.65
66,3.217391304347826,1.565217391304348,6.391304347826088,3.565217391304348,2.3043478260869565,2.347826086956522
67,3.0,4.5625,5.0,3.0625,2.75,1.875
68,3.78125,1.875,3.5625,3.9375,3.53125,2.90625
69,2.9411764705882355,1.3529411764705883,6.529411764705883,4.235294117647058,1.4117647058823528,1.6470588235294117
70,1.6071428571428572,1.8035714285714288,7.321428571428571,4.839285714285714,2.357142857142857,2.642857142857143
71,2.1481481481481484,4.481481481481481,2.7037037037037037,4.2222222222222205,2.185185185185185,2.851851851851852
72,2.5357142857142856,2.9107142857142856,5.607142857142856,4.035714285714286,2.0892857142857144,2.1785714285714284
73,1.0,4.6521739130434785,6.478260869565218,5.695652173913044,2.608695652173913,3.9565217391304346
74,3.1320754716981134,2.056603773584906,3.830188679245283,3.0566037735849063,4.30188679245283,3.716981132075472
