,Position,Track Name,Artist,Streams,URL,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
72,73,MORE & MORE,TWICE,293275,https://open.spotify.com/track/2bAAj29XGc4h1G4oEGYCmg,0.0312,https://api.spotify.com/v1/audio-analysis/2bAAj29XGc4h1G4oEGYCmg,0.739,199653,0.841,2bAAj29XGc4h1G4oEGYCmg,0.0,5,0.173,-4.162,1,0.06,106.99,4,https://api.spotify.com/v1/tracks/2bAAj29XGc4h1G4oEGYCmg,audio_features,spotify:track:2bAAj29XGc4h1G4oEGYCmg,0.562
73,74,Never Grow Up,CHANMINA,292560,https://open.spotify.com/track/5aDgM8rYPT15CqjkN1EIKq,0.145,https://api.spotify.com/v1/audio-analysis/5aDgM8rYPT15CqjkN1EIKq,0.805,196253,0.858,5aDgM8rYPT15CqjkN1EIKq,2.66e-05,10,0.0686,-4.532,1,0.059,105.021,4,https://api.spotify.com/v1/tracks/5aDgM8rYPT15CqjkN1EIKq,audio_features,spotify:track:5aDgM8rYPT15CqjkN1EIKq,0.483
74,75,まちがいさがし,Kenshi Yonezu,287089,https://open.spotify.com/track/4FidnSkTNEEQLmPpueLPd7,0.628,https://api.spotify.com/v1/audio-analysis/4FidnSkTNEEQLmPpueLPd7,0.511,267453,0.533,4FidnSkTNEEQLmPpueLPd7,0.0,0,0.165,-8.229,1,0.0577,83.183,4,https://api.spotify.com/v1/tracks/4FidnSkTNEEQLmPpueLPd7,audio_features,spotify:track:4FidnSkTNEEQLmPpueLPd7,0.405
75,76,CHILDAYS,BLOOM VASE,285062,https://open.spotify.com/track/1g1AXdio16Yh5SXgPBXcfq,0.389,https://api.spotify.com/v1/audio-analysis/1g1AXdio16Yh5SXgPBXcfq,0.647,190272,0.814,1g1AXdio16Yh5SXgPBXcfq,0.0,2,0.171,-2.57,1,0.0469,78.999,4,https://api.spotify.com/v1/tracks/1g1AXdio16Yh5SXgPBXcfq,audio_features,spotify:track:1g1AXdio16Yh5SXgPBXcfq,0.915
76,77,Mela!,Ryokuoushoku Shakai,278881,https://open.spotify.com/track/6fF4cFFiKsb2T2IFHaXezn,0.0439,https://api.spotify.com/v1/audio-analysis/6fF4cFFiKsb2T2IFHaXezn,0.619,242067,0.941,6fF4cFFiKsb2T2IFHaXezn,1.73e-05,8,0.318,-1.618,1,0.0584,137.967,4,https://api.spotify.com/v1/tracks/6fF4cFFiKsb2T2IFHaXezn,audio_features,spotify:track:6fF4cFFiKsb2T2IFHaXezn,0.624
77,78,us,milet,278429,https://open.spotify.com/track/13KOSEIdzpafSyYCUldj7z,0.044,https://api.spotify.com/v1/audio-analysis/13KOSEIdzpafSyYCUldj7z,0.57,252867,0.778,13KOSEIdzpafSyYCUldj7z,0.0,6,0.131,-4.378,1,0.0386,123.847,4,https://api.spotify.com/v1/tracks/13KOSEIdzpafSyYCUldj7z,audio_features,spotify:track:13KOSEIdzpafSyYCUldj7z,0.168
78,79,第六感,Reol,274667,https://open.spotify.com/track/22sQUmLhT8umlEhQzDrzfJ,0.00893,https://api.spotify.com/v1/audio-analysis/22sQUmLhT8umlEhQzDrzfJ,0.675,191625,0.959,22sQUmLhT8umlEhQzDrzfJ,8.48e-05,7,0.325,-1.754,1,0.0835,134.017,4,https://api.spotify.com/v1/tracks/22sQUmLhT8umlEhQzDrzfJ,audio_features,spotify:track:22sQUmLhT8umlEhQzDrzfJ,0.835
79,80,Wherever you are,ONE OK ROCK,271120,https://open.spotify.com/track/7a7EIFzJLd7lcDRgThMQgm,0.0286,https://api.spotify.com/v1/audio-analysis/7a7EIFzJLd7lcDRgThMQgm,0.379,295600,0.69,7a7EIFzJLd7lcDRgThMQgm,0.0,4,0.335,-4.79,1,0.0549,173.716,4,https://api.spotify.com/v1/tracks/7a7EIFzJLd7lcDRgThMQgm,audio_features,spotify:track:7a7EIFzJLd7lcDRgThMQgm,0.288
80,81,祈り花,HIRAIDAI,270655,https://open.spotify.com/track/5G24eB35Ucu4A8MPKLNV9B,0.202,https://api.spotify.com/v1/audio-analysis/5G24eB35Ucu4A8MPKLNV9B,0.413,263480,0.706,5G24eB35Ucu4A8MPKLNV9B,0.0,8,0.147,-2.416,1,0.0369,87.503,4,https://api.spotify.com/v1/tracks/5G24eB35Ucu4A8MPKLNV9B,audio_features,spotify:track:5G24eB35Ucu4A8MPKLNV9B,0.58
81,82,飛行艇,King Gnu,269470,https://open.spotify.com/track/6Ea33AvEANARkK2QduzhRm,0.0711,https://api.spotify.com/v1/audio-analysis/6Ea33AvEANARkK2QduzhRm,0.475,260893,0.841,6Ea33AvEANARkK2QduzhRm,0.0,1,0.358,-2.94,1,0.0446,79.93,4,https://api.spotify.com/v1/tracks/6Ea33AvEANARkK2QduzhRm,audio_features,spotify:track:6Ea33AvEANARkK2QduzhRm,0.469
